id,count,Ban Rate
238,15538,38.15534218991725
25,11539,28.335338752056575
53,8560,21.020062372614984
11,8542,20.975861306878176
360,8322,20.435626058983868
-1,8289,20.354590771799717
122,7917,19.441102079905704
157,7888,19.36988925177418
35,7498,18.41219949414336
84,5716,14.036293986199444
82,5713,14.028927141909978
200,5711,14.024015912383666
555,5182,12.724995702674164
39,5001,12.280529430542936
350,4962,12.184760454779854
777,4826,11.850796846990644
266,4399,10.802249343123052
17,4279,10.507575571544336
67,4099,10.065564914176264
99,4069,9.991896471281585
114,4049,9.942784176018467
51,3976,9.76352429830808
77,3905,9.589175650124009
517,3330,8.177197161309333
111,3269,8.02740466075682
33,3006,7.381577978046804
141,2990,7.342288141836309
63,2973,7.300542690862658
89,2922,7.175306337941703
55,2851,7.000957689757631
420,2746,6.743118139626255
119,2738,6.723473221521008
105,2653,6.514745966652752
19,2650,6.507379122363284
711,2563,6.293740637968716
64,2553,6.269184490337156
875,2445,6.003978095916312
895,2307,5.665103258600791
21,2286,5.613535348574516
7,2249,5.522677602337745
50,2167,5.321317191758957
75,2080,5.107678707364389
120,2063,5.065933256390737
101,1982,4.867028460575105
104,1928,4.734425263364683
36,1768,4.341526901259731
202,1750,4.297325835522923
131,1715,4.211379318812464
29,1678,4.1205215725756945
18,1664,4.0861429658915105
117,1648,4.046853129681016
234,1630,4.0026520639442085
23,1607,3.9461729243916213
145,1559,3.8283034157601357
235,1533,3.7644574319180806
45,1518,3.7276232104707416
90,1511,3.7104339071286496
236,1490,3.6588659971023745
103,1432,3.516440340839329
24,1431,3.513984726076173
81,1419,3.4845173489183012
166,1371,3.3666478402868156
32,1358,3.334724848365788
41,1349,3.3126243154973847
897,1347,3.307713085971073
245,1339,3.288068167865825
221,1338,3.2856125531026694
106,1219,2.99339439628711
876,1131,2.7773002971293863
86,1076,2.6422414851558087
83,1064,2.612774107997937
8,1031,2.5317388208137905
62,1029,2.526827591287479
56,1025,2.517005132234855
112,1018,2.499815828892763
74,1011,2.4826265255506716
22,983,2.413869312182305
54,981,2.4089580826559933
15,968,2.3770350907349656
48,950,2.3328340249981583
888,863,2.1191955406035903
134,849,2.0848169339194067
143,794,1.949758121945829
38,741,1.8196105394985636
2,739,1.8146993099722515
121,709,1.741030867077573
110,703,1.7262971784986374
223,670,1.6452618913144905
60,655,1.6084276698671511
203,630,1.5470373007882523
107,628,1.5421260712619405
28,624,1.5323036122093165
16,620,1.5224811531566926
147,607,1.4905581612356655
6,598,1.4684576283672617
34,594,1.458635169314638
222,583,1.4316234069199223
164,579,1.4218009478672986
412,576,1.4144341035778307
80,574,1.4095228740515189
58,562,1.3800554968936474
10,547,1.343221275446308
91,538,1.3211207425779044
31,524,1.286742135893721
14,515,1.2646416030253174
887,513,1.2597303734990055
9,476,1.1688726272622352
267,455,1.11730471723596
69,432,1.060825577683373
154,417,1.0239913562360337
43,404,0.9920683643150062
254,384,0.9429560690518871
57,359,0.8815656999729882
102,342,0.8398202489993369
78,319,0.78334110944675
516,302,0.7415956584730987
92,299,0.7342288141836308
113,296,0.726861969894163
523,296,0.726861969894163
44,295,0.724406355131007
142,294,0.7219507403678511
26,288,0.7072170517889154
1,286,0.7023058222626034
421,285,0.6998502074994475
20,283,0.6949389779731356
133,278,0.6826609041573558
240,278,0.6826609041573558
429,273,0.670382830341576
12,269,0.6605603712889522
96,264,0.6482822974731725
518,264,0.6482822974731725
246,261,0.6409154531837045
5,257,0.6310929941310807
498,255,0.6261817646047688
163,252,0.6188149203153009
150,249,0.6114480760258331
98,245,0.6016256169732093
27,237,0.5819806988679616
161,233,0.5721582398153378
127,232,0.5697026250521818
76,215,0.5279571740785306
40,193,0.47393364928909953
268,162,0.3978095916312649
3,153,0.37570905876286126
126,152,0.37325344399970534
115,152,0.37325344399970534
526,145,0.3560641406576136
30,130,0.3192299192102743
42,122,0.29958500110502667
432,116,0.2848513125260909
201,115,0.28239569776293494
85,113,0.27748446823662304
68,112,0.27502885347346706
427,107,0.2627507796576873
136,107,0.2627507796576873
59,107,0.2627507796576873
497,90,0.22100532868403605
13,84,0.20627164010510032
79,82,0.2013604105787884
61,78,0.19153795152616457
4,67,0.16452618913144906
37,66,0.1620705743682931
72,65,0.15961495960513716
